codigo_docente,nome_docente
889774,Luis Mochizuki
2342260,Marcelo Massa
2364827,Mariana Harumi Cruz Tsukamoto
889774,Luis Mochizuki
2191255,Ricardo Ricci Uvinha
2342260,Marcelo Massa
2364827,Mariana Harumi Cruz Tsukamoto
2364827,Mariana Harumi Cruz Tsukamoto
309946,Cecilia Olivieri
1051844,Fernando de Souza Coelho
1987427,Wagner Tadeu Iglecias
5830822,Alessandro Soares da Silva
2872716,Diego Antonio Falceta Gonçalves
4983370,Viviane Abreu Nunes Cerqueira Dantas
224372,Eunice Almeida da Silva
224372,Eunice Almeida da Silva
161192,Beatriz Aparecida Ozello Gutierrez
7480016,Bibiana Graeff Chagas Pinto
1447122,Marisa Accioly Rodrigues da Costa Domingues
1554146,Mônica Sanches Yassuda
2160326,Rosa Yuka Sato Chubaci
161192,Beatriz Aparecida Ozello Gutierrez
7480016,Bibiana Graeff Chagas Pinto
1447122,Marisa Accioly Rodrigues da Costa Domingues
1554146,Mônica Sanches Yassuda
2160326,Rosa Yuka Sato Chubaci
161192,Beatriz Aparecida Ozello Gutierrez
7480016,Bibiana Graeff Chagas Pinto
1447122,Marisa Accioly Rodrigues da Costa Domingues
1554146,Mônica Sanches Yassuda
2160326,Rosa Yuka Sato Chubaci
571262,Celia Regina Maganha e Melo
984245,Lucia Cristina Florentino Pereira da Silva
52624,Maria Aparecida de Jesus Belli
1327135,Nadia Zanon Narchi
3265791,Patrícia Wottrich Parenti
314719,Ângela Maria Machado de Lima Hutchison
1846019,Rosemeire Sartori de Albuquerque
6658321,Samila Sathler Tavares Batistoni
571262,Celia Regina Maganha e Melo
984245,Lucia Cristina Florentino Pereira da Silva
52624,Maria Aparecida de Jesus Belli
1327135,Nadia Zanon Narchi
3265791,Patrícia Wottrich Parenti
556504,Andrea Lopes
655501,Andrea Viude Castanho
1846019,Rosemeire Sartori de Albuquerque
3248899,Adriana Caroci Becker
595151,Angela Megumi Ochiai
5359483,Bianca Alves de Oliveira Zorzam
5614629,Christiane Borges do Nascimento Chofakian
5869926,Glauce Cristine Ferreira Soares
7131594,Jéssica Urtado da Silva
3600443,Joyce da Costa Silveira de Camargo
5042952,Marlise de Oliveira Pimentel Lima
2507882,Natalucia Matos Araújo de Carvalho
5614661,Nayara Girardi Baraldi
2343664,Roselane Gonçalves
5976982,Deusivania Vieira da Silva Falcão
1554146,Mônica Sanches Yassuda
1846019,Rosemeire Sartori de Albuquerque
3248899,Adriana Caroci Becker
595151,Angela Megumi Ochiai
5359483,Bianca Alves de Oliveira Zorzam
5614629,Christiane Borges do Nascimento Chofakian
5869926,Glauce Cristine Ferreira Soares
7131594,Jéssica Urtado da Silva
3600443,Joyce da Costa Silveira de Camargo
5042952,Marlise de Oliveira Pimentel Lima
2507882,Natalucia Matos Araújo de Carvalho
2343664,Roselane Gonçalves
2160326,Rosa Yuka Sato Chubaci
6092342,Ruth Caldeira de Melo
574881,Ana Paula Curi
161192,Beatriz Aparecida Ozello Gutierrez
161192,Beatriz Aparecida Ozello Gutierrez
7480016,Bibiana Graeff Chagas Pinto
5976982,Deusivania Vieira da Silva Falcão
2319983,Maria Luisa Trindade Bestetti
1447122,Marisa Accioly Rodrigues da Costa Domingues
2160326,Rosa Yuka Sato Chubaci
6092342,Ruth Caldeira de Melo
5729116,Tânia Araújo Viel
161192,Beatriz Aparecida Ozello Gutierrez
7480016,Bibiana Graeff Chagas Pinto
5976982,Deusivania Vieira da Silva Falcão
2319983,Maria Luisa Trindade Bestetti
1447122,Marisa Accioly Rodrigues da Costa Domingues
2160326,Rosa Yuka Sato Chubaci
6092342,Ruth Caldeira de Melo
5729116,Tânia Araújo Viel
8475697,Elaine Cristina Borges
1090723,Júlia Baruque Ramos
2144321,Douglas Roque Andrade
2364827,Mariana Harumi Cruz Tsukamoto
2320046,Marilia Velardi
2144321,Douglas Roque Andrade
2364827,Mariana Harumi Cruz Tsukamoto
2320046,Marilia Velardi
2144321,Douglas Roque Andrade
2364827,Mariana Harumi Cruz Tsukamoto
2320046,Marilia Velardi
2144321,Douglas Roque Andrade
2364827,Mariana Harumi Cruz Tsukamoto
2320046,Marilia Velardi
3372766,Michele Schultz Ramos
5530115,George Bedinelli Rossi
5530115,George Bedinelli Rossi
643522,Delhi Teresa Paiva Salinas
643522,Delhi Teresa Paiva Salinas
479262,Agnaldo Valentin
500432,Alexandre Ribeiro Leichsenring
3031417,André Gal Mountian
500432,Alexandre Ribeiro Leichsenring
